Designator,Mid X,Mid Y,Rotation,Layer
_5,274.025,-87.1,0.0,top
_4,236.887186,-145.983297,5.0,top
_3,350.33918,-86.254073,0.0,top
_2,350.006662,-140.441539,358.0,top
,292.65,-120.65,0.0,top
B1,233.08918,-106.254072,90.0,top
D1,366.367967,-153.753576,88.0,top
D10,347.13918,-80.222323,90.0,top
D11,328.38918,-149.222323,90.0,top
D12,328.38918,-131.472323,90.0,top
D13,328.38918,-113.722323,90.0,top
D14,328.38918,-95.972323,90.0,top
D15,328.38918,-78.222323,90.0,top
D16,309.63918,-147.222322,90.0,top
D17,309.63918,-129.472322,90.0,top
D18,309.63918,-111.722322,90.0,top
D19,309.63918,-93.972322,90.0,top
D2,366.987433,-136.014389,88.0,top
D20,309.63918,-76.222322,90.0,top
D21,290.88918,-149.222322,90.0,top
D22,290.88918,-131.472322,90.0,top
D23,290.88918,-113.722322,90.0,top
D24,290.88918,-95.972322,90.0,top
D25,290.88918,-78.222322,90.0,top
D26,272.13918,-133.472322,90.0,top
D27,272.13918,-115.722322,90.0,top
D28,272.13918,-97.972322,90.0,top
D29,272.13918,-80.222322,90.0,top
D3,367.606899,-118.275202,88.0,top
D30,272.419842,-158.066238,95.0,top
D31,252.079851,-160.257785,105.0,top
D32,231.936291,-166.471051,120.0,top
D33,252.669842,-133.566238,95.0,top
D34,233.076997,-135.692418,105.0,top
D4,368.226366,-100.536014,88.0,top
D5,368.845832,-82.796827,88.0,top
D6,347.13918,-151.222323,90.0,top
D7,347.13918,-133.472323,90.0,top
D8,347.13918,-115.722323,90.0,top
D9,347.13918,-97.972323,90.0,top
JST1,249.88918,-117.754072,90.0,top
MCU1,243.33918,-83.984072,270.0,top
S1,360.377288,-147.134062,358.0,top
S10,340.95123,-73.886323,0.0,top
S11,322.20123,-142.886323,0.0,top
S12,322.20123,-125.136323,0.0,top
S13,322.20123,-107.386323,0.0,top
S14,322.20123,-89.636323,0.0,top
S15,322.20123,-71.886323,0.0,top
S16,303.45123,-140.886322,0.0,top
S17,303.45123,-123.136322,0.0,top
S18,303.45123,-105.386322,0.0,top
S19,303.45123,-87.636322,0.0,top
S2,360.996754,-129.394875,358.0,top
S20,303.45123,-69.886322,0.0,top
S21,284.70123,-142.886322,0.0,top
S22,284.70123,-125.136322,0.0,top
S23,284.70123,-107.386322,0.0,top
S24,284.70123,-89.636322,0.0,top
S25,284.70123,-71.886322,0.0,top
S26,265.95123,-127.136322,0.0,top
S27,265.95123,-109.386322,0.0,top
S28,265.95123,-91.636322,0.0,top
S29,265.95123,-73.886322,0.0,top
S3,361.61622,-111.655688,358.0,top
S30,261.482751,-153.756541,95.0,top
S31,241.030757,-157.668141,105.0,top
S32,220.520332,-167.46895,120.0,top
S33,246.086711,-127.897643,5.0,top
S34,225.728301,-131.721461,15.0,top
S4,362.235686,-93.9165,358.0,top
S5,362.855152,-76.177313,358.0,top
S6,340.95123,-144.886323,0.0,top
S7,340.95123,-127.136323,0.0,top
S8,340.95123,-109.386323,0.0,top
S9,340.95123,-91.636323,0.0,top
T1,234.41418,-115.254072,90.0,top
